Year/month,Germany,Denmark,Belgium,Bulgaria
2019M12,22860,1276,3571,1139
2019M11,22860,1276,3571,1139
2019M10,22860,1276,3571,1139
2019M09,22860,1276,3571,1139
2019M08,22860,1276,3571,1139
2019M07,22860,1276,3571,1139
2019M06,22860,1276,3571,1139
2019M05,22860,1276,3571,1139
2019M04,22860,1276,3571,1139
2019M03,20597,1244,4397,1145
2019M02,20597,1244,4397,1145
2019M01,20597,1244,4397,1145
2018M12,20597,1244,4397,1145
2018M11,20597,1244,4397,1145
2018M10,20597,1244,4397,1145
2018M09,20597,1244,4397,1145
2018M08,20597,1244,4397,1145
2018M07,20597,1244,4397,1145
2018M06,20597,1244,4397,1145
2018M05,20597,1244,4397,1145
2018M04,20597,1244,4397,1145
2018M03,20002,1241,3492,1039
2018M02,20002,1241,3492,1039
2018M01,20002,1241,3492,1039
2017M12,20002,1241,3492,1039
2017M11,20002,1241,3492,1039
2017M10,20002,1241,3492,1039
2017M09,20002,1241,3492,1039
2017M08,20002,1241,3492,1039
2017M07,20002,1241,3492,1039
2017M06,20002,1241,3492,1039
2017M05,20002,1241,3492,1039
2017M04,20002,1241,3492,1039
2017M03,19878,1207,4731,992
2017M02,19878,1207,4731,992
2017M01,19878,1207,4731,992
2016M12,19878,1207,4731,992
2016M11,19878,1207,4731,992
2016M10,19878,1207,4731,992
2016M09,19878,1207,4731,992
2016M08,19878,1207,4731,992
2016M07,19878,1207,4731,992
2016M06,19878,1207,4731,992
2016M05,19878,1207,4731,992
2016M04,19878,1207,4731,992
2016M03,19442,1199,3420,931
2016M02,19442,1199,3420,931
2016M01,19442,1199,3420,931
2015M12,19442,1199,3420,931
2015M11,19442,1199,3420,931
2015M10,19442,1199,3420,931
2015M09,19442,1199,3420,931
2015M08,19442,1199,3420,931
2015M07,19442,1199,3420,931
2015M06,19442,1199,3420,931
2015M05,19442,1199,3420,931
2015M04,19442,1199,3420,931
2015M03,20455,1222,3470,869
2015M02,20455,1222,3470,869
2015M01,20455,1222,3470,869
2014M12,20455,1222,3470,869
2014M11,20455,1222,3470,869
2014M10,20455,1222,3470,869
2014M09,20455,1222,3470,869
2014M08,20455,1222,3470,869
2014M07,20455,1222,3470,869
2014M06,20455,1222,3470,869
2014M05,20455,1222,3470,869
2014M04,20455,1223,3470,869
2014M03,20050,1240,4318,918
2014M02,20050,1240,4318,918
2014M01,20050,1240,4318,918
2013M12,20050,1240,4318,918
2013M11,20050,1240,4318,918
2013M10,20050,1240,4318,918
2013M09,20050,1240,4318,918
2013M08,20050,1240,4318,918
2013M07,20050,1240,4318,918
2013M06,20050,1240,4318,918
2013M05,20050,1240,4318,918
2013M04,20050,1240,4318,918
2013M03,23201,1285,4417,828
2013M02,23201,1285,4417,828
2013M01,23201,1285,4417,828
